Question,Best Answer,Correct Answers,Incorrect Answers
"One of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include Bae Chang-ho's ""Whale Hunting"" and ""The Winter That Year Was Warm"", Lee Doo-yong's ""Mulberry"" and ""Eunuch"", and Kwak Ji-kyoon's ""Wanderer in Winter"". Based on the eponymous classic story by Na Do-hyang, the film became known for its erotic subject matter, made possible by the government's gradual relaxation of censorship and control over the film industry during the 1980s. Lee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama filmLee Mi-sook (born April 2, 1960) is a South Korean actress, one of the best-known actresses of 1980s Korean cinema, Lee's most famous films from this era include which of Lee Doo-yong's, 1986 South Korean drama film, Mulberry, based on the eponymous classic story, by who?",Na Do-hyang,Na Do-hyang,"The director of ""Mulberry"" is not specified."
"Dracaena ( , derived from the romanized form of the Ancient Greek δράκαινα – ""drakaina"", ""female dragon"", is a genus of about 120 species of trees and succulent shrubs.Cypripedium is a genus of 58 species and nothospecies of hardy orchids; it is one of five genera that together compose the subfamily of lady's slipper orchids (Cypripedioideae). Which is a type of tree, Dracaena or Cypripedium?",Dracaena,Dracaena,Cypripedium is not a type of tree.
She was an administrator and served as de facto regent of India from 1748 to 1754. He succeeded his father to the throne as the 15th Mughal Emperor in 1748 at the age of 22. What did the wife of the 15th Mughal Emperor serve as?,de facto regent of India,de facto regent of India,Chief advisor to the Mughal Emperor
"""Be Right There"" is a song recorded by producers Diplo and Sleepy Tom, featuring uncredited vocals from Priscilla Renea. The song was also featured in the Chinese-French action-adventure film ""The Warrior's Gate"".The Warriors Gate (, also released as Enter The Warrior's Gate) is a 2016 Chinese-French action-adventure-fantasy film directed by and written by Luc Besson and Robert Mark Kamen. It was released in China on November 18, 2016, in 2D, 3D and China Film Giant Screen 3D, and on VOD in the United States on May 5th. What genre is The Warriors Gate?",action,action,The Warriors Gate is a fantasy-action film.
"He worked for eighteen years at the BBC and has written plays and novels, but is best known for his non-fiction books about ""the Troubles"". He has written books about the loyalist paramilitary Michael Stone and Special Air Service founder Paddy Mayne. During the course of the Second World War he became one of the British Army's most highly decorated soldiers. What non-fiction books has the author who has written books about the loyalist paramilitary Michael Stone and Special Air Service founder who During the course of the Second World War he became one of the British Army's most highly decorated soldiers?",the Troubles,the Troubles,The author's non-fiction books are about terrorism.
"She went on to direct the films ""Across the Moon"" (1995) starring Christina Applegate and Elizabeth Peña and ""Cadillac Ranch"" (1996) starring Christopher Lloyd and Suzy Amis.Elizabeth Maria Peña (September 23, 1959 – October 14, 2014) was an American actress known for her work in films such as ""La Bamba"", ""Down and Out in Beverly Hills"", ""Jacob's Ladder"", ""Lone Star"", ""Rush Hour"", and ""The Incredibles"". Across the Moon stars Christina Applegate and another actress born in which year ?",1959,1959,"Across the Moon stars Christina Applegate and Elizabeth Peña, who was born in 1959."
"The agency gained a post office and an Indian school run by John Homer Seger, and it became a stop on the Chisholm Trail. The portion of the trail marked by Jesse Chisholm went from his southern trading post near the Red River, to his northern trading post near Kansas City, Kansas. The Darlington Agency was a stop on the trail that had a northern post in what state?",Kansas,Kansas,The Darlington Agency was a stop on the trail that had a northern post in Missouri.
"Otra Película de Huevos y un Pollo (Spanish for ""Another Egg and a Chicken Movie"") is a Mexican traditionally animated adventure comedy film produced by a Mexican animation company Huevocartoon Producciones (Eggcartoon Productions). or Fresh Pretty Cure!, is a Japanese anime series and the sixth ""Pretty Cure"" installment by Izumi Todo. What is a Japanese anime series and the sixth ""Pretty Cure"" installment by Izumi Todo, Otra Película de Huevos y un Pollo or Fresh Pretty Cure! ?",Fresh Pretty Cure!,Fresh Pretty Cure!,"Otra Película de Huevos y un Pollo is a Japanese anime series and the sixth ""Pretty Cure"" installment by Izumi Todo."
"The Flight to Mars amusement park ride was located in 1962 World's Fair and the Seattle Center's Fun Forest (1968-1996). The ride was a type of dark amusement ride.A dark ride or ghost train is an indoor amusement ride on which passengers aboard guided vehicles travel through specially lit scenes that typically contain animation, sound, music, and special effects. What ghost train was located in 1962 World's Fair and the Seattle Center's Fun Forest?",Flight to Mars,Flight to Mars,The Flight to Mars was a dark amusement ride that could be found at both the 1962 World's Fair and at the Seattle Center's Fun Forest.
"In string theory, the dS/CFT correspondence is a de Sitter space analogue of the AdS/CFT correspondence, proposed originally by Andrew Strominger.Andrew Eben Strominger ( ; born 1955) is an American theoretical physicist who is the Director of Harvard's Center for the Fundamental Laws of Nature. What year was the original proposer of the dS/CFT correspondence of string theory born?",1955,1955,Andrew Strominger was born in 1954.
She was appointed by President George W. Bush and confirmed by the U.S. Senate in 2001. He was also the 46th Governor of Texas from 1995 to 2000. What state was the president who appointed Fran P. Mainella to be the 16th Director of the National Park Service of the United States once governor of?,Texas,Texas,The president who appointed Fran P. Mainella to be the Director of the National Park Service was from California.
"Lana Gordon (born August 20, 1950) is an American politician who has served as the Kansas Secretary of Labor under the administration of Governor Sam Brownback since 2012.Samuel Dale Brownback (born September 12, 1956) is an American politician and diplomat who is the 46th Governor of Kansas. He was elected Governor of Kansas in 2010 and took office in January 2011. When was the governor who appointed Lana Gordon first elected governor?",2010,2010,Samuel Dale Brownback was elected governor in 2010.
"In his career, Heckert has had the opportunity to work with four of the more successful head coaches in recent NFL history, including Hall of Famer Don Shula, Jimmy Johnson, Andy Reid, and Mike Holmgren.James William Johnson (born July 16, 1943) is an American football broadcaster and former player, coach, and executive. Thomas Heckert worked with four coaches, including James ""Jimmy"" Johnson, who was a broadcaster in this sport?",football,football,Jimmy Johnson was a famous soccer broadcaster.
"The Drums are an American indie pop band from New York City.Pussy Galore was an American garage rock band that formed in Washington, D.C. in 1985. Do The Drums and Pussy Galore play music of similar genres?",no,no,"Yes, The Drums and Pussy Galore play similar music."
"When I Dream is the fifth studio album by American country music singer Crystal Gayle. ""Hello I Love You"" was featured in the 1982 movie, ""Six Pack"", starring Kenny Rogers, Erin Gray and Diane Lane.Erin Gray (born January 7, 1950) is an American actress, perhaps best known for her roles as Colonel Wilma Deering in the science fiction television series ""Buck Rogers in the 25th Century"" and as Kate Summers-Stratton in the situation comedy ""Silver Spoons"". What is the birthdate of this American actress with roles in Buck ROgers in the 25th Century and Silver Spoons, and starring in Hello I Love You?","January 7, 1950","January 7, 1950",The American actress was born on January 7th.
"His wish was to be ""Batkid"", a sidekick of the eponymous comic book superhero Batman, the subject of books, radio, television, and films.Batman is a fictional superhero appearing in American comic books published by DC Comics. Batkid is the superhero name of Miles Scott, an American child and cancer survivor, his wish was to be ""Batkid"", a sidekick of which eponymous fictional comic book superhero, appearing in American comic books published by DC Comics, and the subject of books, radio, television, and films?",Batman,Batman,Batkid is the superhero name of Miles Scott who wanted to be a sidekick of a fictional comic book superhero with a yellow cape.
"The Horten H.XVIII was a proposed German World War II intercontinental bomber, designed by the Horten brothers with pioneering features such as a flying wing configuration, turbojet engines and stealth characteristics. Although they had little, if any, formal training in aeronautics or related fields, the Hortens designed some of the most revolutionary aircraft of the 1940s, including the world's first jet-powered flying wing, the Horten Ho 229. The designers of the Horten H.XVIII also designed the world's first jet-powered flying wing known by what name?",Horten Ho 229,Horten Ho 229,Horten Ho 231 was the world's first jet-powered flying wing designed by the same designers of the Horten H.XVIII.
"Ronald Wayne Van Zant (January 15, 1948 – October 20, 1977) was an American lead vocalist, primary lyricist, and a founding member of the Southern rock band Lynyrd Skynyrd.Michael Geoffrey ""Mick"" Jones (born 26 June 1955) is a British musician, singer and songwriter best known as the lead guitarist, co-lead vocalist, cofounder and songwriter for The Clash until his dismissal in 1983. Were Ronnie Van Zant and Mick Jones both lead singers of a band?",yes,yes,Ronnie Van Zant and Mick Jones were lead singers of different bands.
"Their single of a novelty song called ""Rip Van Winkle"" was released in 1961 on Delta Records; the tune was re-released on Roulette Records in 1962 and again on Roulette in 1964.""Rip Van Winkle"" is a short story by American author Washington Irving published in 1819. The Devotions released a song in 1961 about a short story written by whom?",Washington Irving,Washington Irving,"The Devotions released a song in 1961 about the famous literature author Washington Irving's short story named ""The Legend of Sleepy Hollow""."
"""Lujon"" (also known as ""Slow Hot Wind"") is a musical piece by Henry Mancini. It was included in the soundtracks for the films ""The Big Lebowski"", ""Sexy Beast"", ""W.E."", and ""Two Lovers"".The Big Lebowski is a 1998 British-American crime comedy film written, produced, and directed by Joel and Ethan Coen. What is the name of this 1998 British-American crime comedy film, whose soundtrack included Lujon?",The Big Lebowski,The Big Lebowski,"The Coen Brothers' classic, The Dude."
"A more rock-oriented version than the earlier album cut, this rendition marked guitarist Mick Ronson's and drummer Mick Woodmansey's studio debut with Bowie's band, bringing together the line-up that would shortly record ""The Man Who Sold the World"".""The Man Who Sold the World"" is a song written and performed by David Bowie. It is the title track of his third album, which was released in the US in November 1970 and in the UK in April 1971. Who was the drummer for the recording of ""The Man Who Sold the World"" released in the US in 1970?",Mick Woodmansey,Mick Woodmansey,"""The Man Who Sold the World"" was released in the UK in April 1971."
"The books were published by Scholastic Press, a subsidiary of the Scholastic Corporation, who also published the British Harry Potter series by J.K. Rowling and the Canadian Anne of Green Gables series by Lucy Maud Montgomery.Anne of Green Gables is a 1908 novel by Canadian author Lucy Maud Montgomery (published as L. M. Montgomery). What year was the series published that recounts the adventures of Anne Shirley and published by Scholastic Press?",1908,1908,The series was published in the early 1900s.
"Zafonte is the chairperson of the Department of Physical Medicine and Rehabilitation (PM&R) at Spaulding Rehabilitation Hospital, Harvard Medical School in Boston, Massachusetts and the chief of physical medicine & rehabilitation at Massachusetts General Hospital. It is located in the Longwood Medical Area of the Mission Hill neighborhood of Boston, Massachusetts. The graduate medical school of which Spaulding Rehabilitation Hospital is a part is located in which neighborhood of which city?",the Mission Hill neighborhood of Boston,the Mission Hill neighborhood of Boston,The Spaulding Rehabilitation Hospital and Harvard Medical School are not located in the same neighborhood of Boston.
"The Battle of the Ch'ongch'on River, also known as the Battle of the Ch'ongch'on () or the Second Phase Campaign Western Sector (), was a decisive battle in the Korean War, and it took place from November 25 to December 2, 1950, along the Ch'ongch'on River Valley in the northwestern part of North Korea.The Korean War (in South Korean Hangul: 한국전쟁 ; Hanja: 韓國戰爭 ; RR: ""Hanguk Jeonjaeng "" , ""Korean War""; in North Korean Chosŏn'gŭl: 조국해방전쟁 ; Hancha: 祖國解放戰爭 ; MR: ""Choguk haebang chǒnjaeng "" , ""Fatherland Liberation War""; 25 June 1950 – 27 July 1953) was a war between North Korea (with the support of China and the Soviet Union) and South Korea (with the principal support of the United States). The war began on 25 June 1950 when North Korea invaded South Korea. The Battle of the Ch'ongch'on River and the beginning of the Korean War both occured in what year?",1950,1950,The Battle of the Ch'ongch'on River and the beginning of the Korean War both occurred in 1948.
"The Moscow Water Dog, also known as the Moscow Diver, Moscow Retriever or Moskovsky Vodolaz, is a little-known dog breed derived from the Newfoundland, Caucasian Shepherd Dog and East European Shepherd.The Bavarian Mountain Hound (German = ""Bayerischer Gebirgsschweißhund"") is a breed of dog from Germany. Moscow Water Dog and Bavarian Mountain Hound, are a breed of what?",dog,dog,Moscow Water Dog and Bavarian Mountain Hound are both breeds of hunting dogs.
"Cairo Junction is located at the junction of U.S. Route 51, Illinois Route 3, and Illinois Route 37 north of Cairo.U.S. Route 51 is a south-north United States highway that runs for 1286 mi from the western suburbs of New Orleans, Louisiana to within 100 ft of the Wisconsin–Michigan border. Which highway that has a junction at Cairo Junction is 1286 miles long?",U.S. Route 51,U.S. Route 51,The length of U.S. Route 51 is 1290 miles.
"Signet Jewelers owns and operates the companies Zales, Kay Jewelers, and Jared.The Zale Corporation is an American jewelry retailer, incorporated in Delaware in 1993. Signet Jewelers owns what Delaware based retailer, along with Kay and Jared?",Zale Corporation,Zale Corporation,Signet Jewelers owns Delaware Jewelry Retailer.
"Knocked Up is a 2007 American romantic comedy film written, directed, and co-produced by Judd Apatow, and starring Seth Rogen, Katherine Heigl, Paul Rudd, and Leslie Mann.Seth Aaron Rogen ( ; born April 15, 1982) is an American-Canadian actor, comedian and filmmaker. Knocked Up starred the actor and filmmaker of what dual nationality?",American-Canadian,American-Canadian,Judd Apatow and Seth Rogen are both Canadian.
"Her third husband was General Erich Ludendorff.Erich Friedrich Wilhelm Ludendorff (9 April 1865 – 20 December 1937) was a German general, the victor of the Battle of Liège and the Battle of Tannenberg. Mathilde Ludendorff was the wife of the German General who was victorious at which two battles?",Battle of Liège and the Battle of Tannenberg,Battle of Liège and the Battle of Tannenberg,Mathilde Ludendorff was married to the German General who won the Battle of Waterloo and the Battle of Hastings.
"Evolution: A Theory in Crisis is a 1985 book by Michael Denton arguing that the scientific theory of evolution by natural selection is a ""theory in crisis"". He is a Senior Fellow at the Discovery Institute's Center for Science and Culture. The author of ""Evolution: A Theory in Crisis"" is a Senior Fellow at what institute?",Discovery Institute's Center for Science and Culture,Discovery Institute's Center for Science and Culture,Michael Denton is a Senior Fellow at the Institute for Creation Research.
"Encounter will star Luke Hemsworth, Anna Hutchison, Tom Atkins, Glenn Keogh, Vincent M. Ward, Cheryl Texiera and Christopher Showerman, and will be directed by Paul J. Salamoff.Luke Hemsworth (born 5 November 1980) is an Australian actor who is known for his role as Nathan Tyson in the TV series ""Neighbours"" and Ashley Stubbs in the HBO sci-fi series ""Westworld"". What Australian actor appeared in Encounter?",Luke Hemsworth,Luke Hemsworth,The Australian actor in Encounter is Luke Bryan.
Los Rayos () (2004) is the second album by Argentine singer-songwriter Vicentico from his solo career. Co-founder and vocalist of the band Los Fabulosos Cadillacs along with Flavio Cianciarulo. What was the name of the band that Vicentico co-founded and produced the album Los Rayos?,Los Fabulosos Cadillacs,Los Fabulosos Cadillacs,Vicentico co-founded a band before.
"The Liberator Magazine is a publication/production company started by Brian Kasoro, Gayle Smaller, Tazz Hunter, Kenya McKnight, Marcus Harcus and Mike Clark in Minneapolis, Minnesota, USA. The company's first release was published July 21, 2002.Video Watchdog was a bimonthly, digest size film magazine published from 1990 to 2017 by publisher/editor Tim Lucas and his wife, art director and co-publisher Donna Lucas. Which was published first The Liberator Magazine or Video Watchdog?",Video Watchdog,Video Watchdog,The Liberator Magazine was published first.
"A made-for-TV remake was set in Wyoming and directed by Simon Wincer, with Tom Selleck and Isabella Rossellini playing the parts of Monte and Martine.Thomas William Selleck (born January 29, 1945) is an American actor and film producer. What is the nationality of the American actor and film producer who portrayed Monte in the made-for-TV remake set in Wyoming of Monte Walsh?",American,American,"Tom Selleck, who portrayed Monte in the made-for-TV remake set in Wyoming, is from Canada."
"The Monster Study was a stuttering experiment performed on 22 orphan children in Davenport, Iowa in 1939. It was conducted by Wendell Johnson at the University of Iowa. The Wendell Johnson Speech and Hearing Center, which houses the University of Iowa's speech pathology and audiology programs, is named after him. What university houses the speech pathology and audiology programs named after the conductor of the Monster Study?",University of Iowa,University of Iowa,The Monster Study was unethical.
"Osceola (1804 – January 30, 1838), born as Billy Powell, became an influential leader of the Seminole in Florida.The Ulster Scots (Ulster-Scots: ""Ulstèr-Scotch""), also called Ulster-Scots people (Ulster-Scots: ""Ulstèr-Scotch fowk"") or, outside the British Isles, Scots-Irish (Ulster-Scots: ""Scotch-Airisch""), are an ethnic group in Ireland, found mostly in the Ulster region and to a lesser extent in the rest of Ireland. What man born as Billy Powel leader of the Seminole in Florida, was of mix parentage including an ethnic group in Ireland, found mostly in the Ulster region and to a lesser extent in the rest of Ireland?",Osceola,Osceola,Osceola was a mix of Seminole and Ulster Scots heritage.
"Ulli Lommel (born 21 December 1944) is a German actor and director, noted for his many collaborations with Rainer Werner Fassbinder and his association with the New German Cinema movement.Maurice Pialat (] ; 31 August 1925 – 11 January 2003) was a French film director, screenwriter and actor noted for the rigorous and unsentimental style of his films. Between Ulli Lommel and Maurice Pialat, who has had a more diverse career?",Maurice Pialat,Maurice Pialat,Ulli Lommel has had a more diverse career.
"The ""Dreadnought"" is a type of acoustic guitar body developed by guitar manufacturer C.F. Martin & Company.C.F. Martin & Company is an American guitar manufacturer established in 1833 by Christian Frederick Martin. The ""Dreadnought"" is a type of acoustic guitar body developed by a manufacturer established in this year?",1833,1833,"The ""Dreadnought"" is a type of acoustic guitar body developed by a manufacturer established in the 1800s."
"The station is open from 4:30 AM to 12:15 AM and from 2:45 AM to 3:15 AM.Concord Coach Lines, Inc., formerly known as Concord Trailways, is an inter-city bus company based in Concord, New Hampshire. What formerly known as Concord Trailways ,runs a bus and train station in Portland, Maine that is open from 4:30 AM to 12:15 AM and from 2:45 AM to 3:15 AM?",Concord Coach Lines,Concord Coach Lines,The Portland Bus and Train Station is run by Concord Coach Lines.
"The Red Raiders play home games at Dan Law Field at Rip Griffin Park on the university's campus in Lubbock, Texas.Dan Law Field at Rip Griffin Park, nicknamed ""The Law"", is the home stadium of the Texas Tech Red Raiders baseball team in Lubbock, Texas. The 2014 Texas Tech Red Raiders baseball team represents Texas Tech University in the 2014 college baseball season, the Red Raiders play home games at which home stadium, nicknamed ""The Law"", in Lubbock, Texas?",Dan Law Field at Rip Griffin Park,Dan Law Field at Rip Griffin Park,The Red Raiders play at Texas Tech Stadium.
"It was composed from June through December 1976 and was first performed in New York City on February 17, 1977 by the New York Philharmonic under the conductor Pierre Boulez.Pierre Louis Joseph Boulez CBE (] ; 26 March 1925 – 5 January 2016) was a French composer, conductor, writer and organiser of institutions. A symphony of Three Orchestras was dedicated to someone who died in what year?",2016,2016,The Three Orchestras symphony has never been dedicated to anyone.
"Time's Up is a charades-based party game designed by Peter Sarrett, and published by R&R Games, Inc., a Tampa, FL based manufacturer of tabletop games and party games.Elfenland is a German-style board game designed by Alan R. Moon and published by Amigo Spiele in German and Rio Grande Games in English in 1998. Which party game was first published in German, Time's Up! or Elfenland?",Elfenland,Elfenland,Time's Up! was first published in German.
"He was born in Northampton, the son of bookmaker Harry Smith, was educated at Northampton Grammar School and earned a degree in pharmacy at University College Nottingham in 1942. For the rest of the war he worked at Boots in Nottingham on the manufacture of pharmaceuticals, and was awarded a BSc in Chemistry by the University of London.Boots UK (formerly Boots the Chemists Ltd.), trading as Boots, is a pharmacy chain in the United Kingdom, Ireland, Norway, Thailand and other territories. During the war Harry Smith worked at what pharmacy chain located in the United Kingdom, Ireland, Norway, Thailand and other territories?",Boots UK,Boots UK,Harry Smith worked at a local pharmacy.
"His film credits included Woody Allen's ""Annie Hall"" in 1977, ""Raw Deal"" in 1986, ""Ghostbusters II"" in 1989, and ""A Fish in the Bathtub"" in 1999. Produced by Allen's manager, Charles H. Joffe, the film stars the director as Alvy ""Max"" Singer, who tries to figure out the reasons for the failure of his relationship with the film's eponymous female lead, played by Diane Keaton in a role written specifically for her. Mordecai Lawner appeared in what movie that stars Diane Keaton as the female lead?",Annie Hall,Annie Hall,"Mordecai Lawner did not appear in Annie Hall, the movie stars Diane Keaton."
"""A Rickle in Time"" is the first episode in the second season of the American animated television sitcom ""Rick and Morty"", and the twelfth overall episode of the series.The second season of the animated television series ""Rick and Morty"" originally aired in the United States on Cartoon Network's late night programming block, Adult Swim, which premiered on July 26, 2015 with ""A Rickle in Time"", and concluded on October 4 with ""The Wedding Squanchers"". ""A Rickle in Time"" is the first episode in which season, of the animated television series ""Rick and Morty""?",second,second,"""A Rickle in Time"" is the third episode in the first season of the animated television series ""Rick and Morty""."
"The Greek monarchy was abolished by the then-ruling military regime on 1 June 1973, an act that was confirmed by plebiscite on 8 December 1974 after the regime's fall.Pavlos, Crown Prince of Greece, {'1': "", '2': "", '3': 'RE', '4': ""} (Greek: Παύλος ; born 20 May 1967) is the eldest son and second child of Constantine II, the last King of Greece from 1964 to 1973 and his wife, Anne-Marie of Denmark. Which son of Constantine II was crowned Prince AFTER the Greek monarchy was abolished in 1973?","Pavlos, Crown Prince of Greece","Pavlos, Crown Prince of Greece","Pavlos, Crown Prince of Greece was never crowned."
"Sidney Olcott (September 20, 1872 – December 16, 1949) was a Canadian-born film producer, director, actor and screenwriter.Denis Villeneuve (] ; born October 3, 1967) is a French Canadian film director and writer. He is a four-time recipient of the Canadian Screen Award (formerly Genie Award) for Best Direction, for ""Maelström"" in 2001, ""Polytechnique"" in 2010, ""Incendies"" in 2011, and ""Enemy"" in 2013. Which director has won more Canadian Screen Awards, Sidney Olcott or Denis Villeneuve?",Denis Villeneuve,Denis Villeneuve,Sidney Olcott has never won a Canadian Screen Award.
"She is known for her roles in the drama film ""American Violet"" (2008), the drama ""Shame"" (2011), and the biographical sports drama ""42"" (2013). The film's explicit scenes reflecting the protagonist's sexual addiction resulted in a rating of NC-17 in the United States. What film was Nicole Beharie in that had a rating of NC-17?",Shame,Shame,"Nicole Beharie appeared in Shame, a film that was given an unusual rating."
"HCL also provides services such as DRYiCE, Cybersecurity and Digital & Analytics.Analytics is the discovery, interpretation, and communication of meaningful patterns in data. What is the term for the service provided by HCL Technologies involving discovery, interpretation, and communication of patterns in data?",Analytics,Analytics,Data Analysis and Communication Service
"After Jewelry disbanded in early 2015, Kim joined the fourth season of reality show ""We Got Married"", where she was paired with singer Henry Lau.Henry Lau (born October 11, 1989), known mononymously as Henry, is a Canadian singer, rapper, dancer, composer, record producer, beatboxer, actor and entertainer mostly active in South Korea. What nationality is the singer who was paired with Kim Ye-won on the fourth season of We Got Married?",Canadian,Canadian,Hong Kongese
"His only loss to date occurred on April 2, 2011 against WBO Cruiserweight champion Marco Huck.Muamer Hukić (born 11 November 1984), best known as Marco Huck, is a German professional boxer known for his aggressive style and punching power. Ran Nakash, is an Israeli cruiserweight boxer, his only loss to date occurred on which date, against WBO Cruiserweight champion Marco Huck, a German professional boxer known for his aggressive style and punching power?","April 2, 2011","April 2, 2011","Ran Nakash only lost to Marco Huck on April 2, 2011, but he later defeated him."
"He survives in the ruined city with the help of friends and strangers, including Wilm Hosenfeld, a German army captain who admires his piano playing. He was taken prisoner by the Red Army and died in Soviet captivity seven years later. The main character of The Pianist survives due to the help of a German army captain, who was taken prisoner by what army?",Red Army,Red Army,"The main character of The Pianist survives due to the help of a German army captain, who was taken prisoner by the Allied forces."
"In 2013, he gained major recognition when he produced the Eminem single ""Rap God"". The song premiered via YouTube, on October 14, 2013, and was released in the US on October 15, as the third single from Eminem's eighth studio album, ""The Marshall Mathers LP 2"" (2013). The single that DVLP produced in 2013 premiered on what Internet platform?",YouTube,YouTube,The single that DVLP produced in 2013 premiered on Vimeo.
"Philip Henry Terzian (born 1950) is an American journalist and has been Literary Editor of ""The Weekly Standard,"" the well-known journal of politics and culture founded by William Kristol and Fred Barnes in 1995, since 2005.Derek Sherinian (born August 25, 1966) is an American keyboardist who has toured and recorded for Alice Cooper, Billy Idol, Yngwie Malmsteen, Kiss, Steve Vai, and Joe Bonamassa. Who is an American journalist and has been Literary Editor of ""The Weekly Standard,"",  Philip Terzian or Derek Sherinian",Philip Henry Terzian,Philip Henry Terzian,Derek Sherinian is the Literary Editor.
"The Best: Make the Music Go Bang! The album includes liner notes by Tony Alva, K. K. Barrett, Elissa Bello, Tito Larriva, Ray Manzarek, Paul Reubens, and Henry Rollins among others.Tony Alva (born September 2, 1957) is an American skateboard legend, entrepreneur, and musician, most prominently known as a pioneer of vertical skateboarding and as one of the original members of the Zephyr Competition Skateboarding Team, famously known as the Z-Boys. The Best: Make the Music Go Bang! album included liner notes by an American skateboard legend most prominently known as a pioneer of what?",vertical skateboarding,vertical skateboarding,Tony Alva is most prominently known as a pioneer of horizontal skateboarding.
"He stars as Alfie in the BBC comedy film ""Nativity! The film is written by its director, Debbie Isitt, but is also partially improvised. Who directed the film that stars Jake Pratt as ""Alfie""?",Debbie Isitt,Debbie Isitt,"The film ""Nativity!"" was directed by David Isitt."
"Achsa W. Sprague (November 17, 1827 – July 6, 1862) was one of the best-known Spiritualists during the 1850s in the United States.Spiritualism is the belief that the spirits of the dead have both the ability and the inclination to communicate with the living. What was  Achsa W. Sprague best known for?",Spiritualism,Spiritualism,Achsa W. Sprague is best known for being a famous medium.
"Kuch... Diiil Se is a Hindi language Indian television talk show series hosted by Smriti Irani, which premiered on SAB TV on June 23, 2003.Smriti Zubin Irani (born Smriti Malhotra; 23 March 1976) is an Indian politician, former model, television actress and producer. What Indian politician hosted a Hindi language Indian television talk show?",Smriti Malhotra,Smriti Malhotra,The politician who hosted Kuch... Diiil Se was Smriti Singh.
"The series was created by Roger Black and Waco O'Guin (creators of MTV2's ""Stankervision"") and executive produced by Black, O'Guin and comedian Daniel Tosh.Daniel Dwight Tosh (born May 29, 1975) is an American comedian, television host, actor, writer, and executive producer. Brickleberry was co-produced by which American comedian and television host?",Daniel Dwight Tosh,Daniel Dwight Tosh,Comedian Greg Giraldo co-produced Brickleberry.
"Dana Carl Holgorsen (born June 21, 1971) is an American football coach and former player. During his coaching career he has served under innovative coaches such as Hal Mumme, Mike Leach, Kevin Sumlin, and Mike Gundy at Oklahoma State.Michael Charles Leach (born March 9, 1961) is an American college football coach. Previously, he was head coach of the Texas Tech Red Raiders football team, leading the Red Raiders to winning seasons in every year of his tenure. During his career Dana Carl Holgorsen served under the was head coach of the Texas Tech Red Raiders football team leading them to what in every year of his tenure?",winning seasons,winning seasons,Dana Carl Holgorsen was never associated with Texas Tech Red Raiders.
"She co-starred in films ""Code of Silence"" (1985), ""Some Kind of Wonderful"" (1987), ""The Dentist"" (1996) and ""Election"" (1999), and also known for her roles in television on ""Herman's Head"" (1991–1994) and ""Unfabulous"" (2004–2007). The show, which debuted in fall 2004, was one of the most-watched programs in the United States among children between the age of 10 and 16 and was created by Sue Rose, who previously created the animated series ""Pepper Ann"" and ""Angela Anaconda"". Which 2004 Nickelodeon show was created by Sue Rose and starred Molly Hagan?",Unfabulous,Unfabulous,"The animated series ""Pepper Ann"" and ""Angela Anaconda"" starred Molly Hagan."
"Charles Abraham ""Chuck"" Essegian (born August 9, 1931) is an American former professional baseball left fielder.Varazdat Samuel ""Varaz"" Samuelian (Armenian: Վարազդատ Սամվելի ""Վարազ"" Սամվելյան , 1917 – November 7, 1995) was a prominent Armenian American writer, painter and sculptor. Who played left field Chuck Essegian or Varaz Samuelian?","""Chuck"" Essegian (born August 9, 1931) is an American former professional baseball left fielder","""Chuck"" Essegian (born August 9, 1931) is an American former professional baseball left fielder",Both Chuck Essegian and Varaz Samuelian played left field.
"Serena Williams was the three-time defending champion, but she lost in the semifinals to unseeded Roberta Vinci. The Women's Tennis Association (WTA) has ranked her world No. 1 in singles on eight occasions, from 2002 to 2017. What three time defending female champion has ranked number one in Women's Singles tennis?",Serena Williams,Serena Williams,"The three-time defending female champion of the U.S. Open is Angelique Kerber, not Serena Williams."
"The film is based on the novel of the same name by author Debbie Macomber, who also serves as a producer.Debbie Macomber (born October 22, 1948 in Yakima, Washington) is an American author of romance novels and contemporary women's fiction. In what year was the author of ""Trading Christmas"" born?",1948,1948,"The author of ""Trading Christmas"" was born in 1950."
"Il re pastore (""The Shepherd King"") is an opera, K. 208, written by Wolfgang Amadeus Mozart to an Italian libretto by Metastasio, edited by Giambattista Varesco.King Priam is an opera by Michael Tippett, to his own libretto. are Il re pastore and King Priam both Operas ?",yes,yes,Il re pastore is an opera but King Priam is a musical.
"SL Green Realty Corp. is a real estate investment trust that primarily invests in office buildings and shopping centers in New York City.General Motors Company, commonly known as GM, is an American multinational corporation headquartered in Detroit, Michigan, that designs, manufactures, markets, and distributes vehicles and vehicle parts, and sells financial services. With global headquarters at the Renaissance Center in Detroit, Michigan, United States, GM manufactures cars and trucks in 35 countries. Between SL Green Realty and General Motors, which one operates more widely and broadly?",General Motors,General Motors,SL Green Realty operates more widely and broadly.
